营业流水号,结算流水号,客位名称,牌号,备注,桌号,就餐人数,应收金额,优惠金额,实收金额,操作pos,操作员,结算时间,开票标志,打印次数,hour
YY000101-251220-0085,JS000101-251220-0084,外卖区域.WM客位204262,,,,1,37.8,0.0,37.8,收银pos,001-收银,2025-12-20 17:29:15,否,1,17
YY000101-251220-0083,JS000101-251220-0082,外卖区域.WM客位204262,,,,1,33.8,0.0,33.8,收银pos,001-收银,2025-12-20 17:20:47,否,1,17
YY000101-251220-0081,JS000101-251220-0081,外卖区域.WM客位204262,,,,1,33.8,0.0,33.8,收银pos,001-收银,2025-12-20 17:19:09,否,1,17
YY000101-251220-0080,JS000101-251220-0080,外卖区域.WM客位204262,,,,1,44.8,0.0,44.8,收银pos,001-收银,2025-12-20 17:03:47,否,1,17
YY000101-251220-0079,JS000101-251220-0079,外卖区域.WM客位204262,,,,1,50.8,0.0,50.8,收银pos,001-收银,2025-12-20 16:05:21,否,1,16
YY000101-251220-0078,JS000101-251220-0078,大厅.A09,,,,1,39.0,0.0,39.0,收银pos,001-收银,2025-12-20 16:02:46,否,0,16
YY000101-251220-0077,JS000101-251220-0077,外卖区域.WM客位204262,,,,1,91.7,0.0,91.7,收银pos,001-收银,2025-12-20 14:49:01,否,1,14
YY000101-251220-0070,JS000101-251220-0070,大厅.A06,,,,2,128.0,0.0,128.0,收银pos,001-收银,2025-12-20 14:27:33,否,0,14
YY000101-251220-0071,JS000101-251220-0076,大厅.A07,,,,4,284.0,55.6,228.4,收银pos,001-收银,2025-12-20 14:26:09,否,0,14
YY000101-251220-0076,JS000101-251220-0075,外卖区域.WM客位204262,,,,1,69.1,0.0,69.1,收银pos,001-收银,2025-12-20 14:08:54,否,1,14
YY000101-251220-0075,JS000101-251220-0074,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-20 14:04:49,否,1,14
YY000101-251220-0074,JS000101-251220-0073,外卖区域.WM客位204262,,,,1,38.8,0.0,38.8,收银pos,001-收银,2025-12-20 13:55:50,否,1,13
YY000101-251220-0073,JS000101-251220-0072,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-20 13:48:07,否,1,13
YY000101-251220-0072,JS000101-251220-0071,外卖区域.WM客位204262,,,,1,45.8,0.0,45.8,收银pos,001-收银,2025-12-20 13:42:21,否,1,13
YY000101-251220-0069,JS000101-251220-0069,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-20 13:26:49,否,1,13
YY000101-251220-0048,JS000101-251220-0048,大厅.A05,,,,2,215.0,0.0,215.0,收银pos,001-收银,2025-12-20 13:23:16,否,0,13
YY000101-251220-0068,JS000101-251220-0068,外卖区域.WM客位204262,,,,1,69.7,0.0,69.7,收银pos,001-收银,2025-12-20 13:06:43,否,1,13
YY000101-251220-0061,JS000101-251220-0067,大厅.A07,,,,2,52.0,0.0,52.0,收银pos,001-收银,2025-12-20 13:04:34,否,0,13
YY000101-251220-0054,JS000101-251220-0066,大厅.A03,,,,2,204.0,34.8,169.2,收银pos,001-收银,2025-12-20 13:03:28,否,0,13
YY000101-251220-0067,JS000101-251220-0065,外卖区域.WM客位204262,,,,1,38.7,0.0,38.7,收银pos,001-收银,2025-12-20 12:59:05,否,1,12
YY000101-251220-0064,JS000101-251220-0063,大厅.A02,,,,2,23.8,0.0,23.8,收银pos,001-收银,2025-12-20 12:58:52,否,0,12
YY000101-251220-0066,JS000101-251220-0064,外卖区域.WM客位204262,,,,1,47.8,0.0,47.8,收银pos,001-收银,2025-12-20 12:57:52,否,1,12
YY000101-251220-0065,JS000101-251220-0062,外卖区域.WM客位204262,,,,1,37.8,0.0,37.8,收银pos,001-收银,2025-12-20 12:55:08,否,1,12
YY000101-251220-0055,JS000101-251220-0061,大厅.A11,,,,1,26.0,0.0,26.0,收银pos,001-收银,2025-12-20 12:53:44,否,0,12
YY000101-251220-0063,JS000101-251220-0060,外卖区域.WM客位204262,,,,1,39.8,0.0,39.8,收银pos,001-收银,2025-12-20 12:52:39,否,1,12
YY000101-251220-0062,JS000101-251220-0059,外卖区域.WM客位204262,,,,1,27.8,0.0,27.8,收银pos,001-收银,2025-12-20 12:43:25,否,1,12
YY000101-251220-0060,JS000101-251220-0058,外卖区域.WM客位204262,,,,1,49.8,0.0,49.8,收银pos,001-收银,2025-12-20 12:40:26,否,1,12
YY000101-251220-0059,JS000101-251220-0057,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-20 12:40:18,否,1,12
YY000101-251220-0058,JS000101-251220-0056,外卖区域.WM客位204262,,,,1,27.8,0.0,27.8,收银pos,001-收银,2025-12-20 12:40:17,否,1,12
YY000101-251220-0057,JS000101-251220-0055,外卖区域.WM客位204262,,,,1,37.8,0.0,37.8,收银pos,001-收银,2025-12-20 12:40:09,否,1,12
YY000101-251220-0056,JS000101-251220-0054,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-20 12:36:14,否,1,12
YY000101-251220-0031,JS000101-251220-0053,大厅.A08,,,,4,387.0,0.0,387.0,收银pos,001-收银,2025-12-20 12:36:00,否,0,12
YY000101-251220-0053,JS000101-251220-0052,外卖区域.WM客位204262,,,,1,27.8,0.0,27.8,收银pos,001-收银,2025-12-20 12:24:24,否,1,12
YY000101-251220-0052,JS000101-251220-0051,外卖区域.WM客位204262,,,,1,54.8,0.0,54.8,收银pos,001-收银,2025-12-20 12:23:26,否,1,12
YY000101-251220-0051,JS000101-251220-0050,外卖区域.WM客位204262,,,,1,54.2,0.0,54.2,收银pos,001-收银,2025-12-20 12:22:12,否,1,12
YY000101-251220-0050,JS000101-251220-0049,外卖区域.WM客位204262,,,,1,47.8,0.0,47.8,收银pos,001-收银,2025-12-20 12:18:53,否,1,12
YY000101-251220-0049,JS000101-251220-0047,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-20 12:17:45,否,1,12
YY000101-251220-0047,JS000101-251220-0046,外卖区域.WM客位204262,,,,1,39.8,0.0,39.8,收银pos,001-收银,2025-12-20 12:17:12,否,1,12
YY000101-251220-0046,JS000101-251220-0045,外卖区域.WM客位204262,,,,1,43.8,0.0,43.8,收银pos,001-收银,2025-12-20 12:09:09,否,1,12
YY000101-251220-0045,JS000101-251220-0044,外卖区域.WM客位204262,,,,1,70.6,0.0,70.6,收银pos,001-收银,2025-12-20 12:08:57,否,1,12
YY000101-251220-0044,JS000101-251220-0043,外卖区域.WM客位204262,,,,1,46.7,0.0,46.7,收银pos,001-收银,2025-12-20 12:06:32,否,1,12
YY000101-251220-0043,JS000101-251220-0042,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-20 12:01:36,否,1,12
YY000101-251220-0042,JS000101-251220-0041,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-20 12:01:04,否,1,12
YY000101-251220-0041,JS000101-251220-0040,外卖区域.WM客位204262,,,,1,27.8,0.0,27.8,收银pos,001-收银,2025-12-20 11:55:07,否,1,11
YY000101-251220-0040,JS000101-251220-0039,外卖区域.WM客位204262,,,,1,40.5,0.0,40.5,收银pos,001-收银,2025-12-20 11:53:19,否,1,11
YY000101-251220-0039,JS000101-251220-0038,外卖区域.WM客位204262,,,,1,49.6,0.0,49.6,收银pos,001-收银,2025-12-20 11:49:44,否,1,11
YY000101-251220-0038,JS000101-251220-0037,外卖区域.WM客位204262,,,,1,40.6,0.0,40.6,收银pos,001-收银,2025-12-20 11:49:26,否,1,11
YY000101-251220-0037,JS000101-251220-0036,外卖区域.WM客位204262,,,,1,36.8,0.0,36.8,收银pos,001-收银,2025-12-20 11:48:03,否,1,11
YY000101-251220-0036,JS000101-251220-0035,外卖区域.WM客位204262,,,,1,36.8,0.0,36.8,收银pos,001-收银,2025-12-20 11:46:10,否,1,11
YY000101-251220-0035,JS000101-251220-0034,外卖区域.WM客位204262,,,,1,39.7,0.0,39.7,收银pos,001-收银,2025-12-20 11:44:06,否,1,11
YY000101-251220-0034,JS000101-251220-0033,外卖区域.WM客位204262,,,,1,82.6,0.0,82.6,收银pos,001-收银,2025-12-20 11:37:47,否,1,11
YY000101-251220-0033,JS000101-251220-0032,外卖区域.WM客位204262,,,,1,39.7,0.0,39.7,收银pos,001-收银,2025-12-20 11:37:46,否,1,11
YY000101-251220-0032,JS000101-251220-0031,外卖区域.WM客位204262,,,,1,41.8,0.0,41.8,收银pos,001-收银,2025-12-20 11:37:37,否,1,11
YY000101-251220-0029,JS000101-251220-0029,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-20 11:33:38,否,1,11
YY000101-251220-0028,JS000101-251220-0028,外卖区域.WM客位204262,,,,1,47.8,0.0,47.8,收银pos,001-收银,2025-12-20 11:32:05,否,1,11
YY000101-251220-0027,JS000101-251220-0027,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-20 11:31:02,否,1,11
YY000101-251220-0026,JS000101-251220-0026,外卖区域.WM客位204262,,,,1,40.8,0.0,40.8,收银pos,001-收银,2025-12-20 11:30:50,否,1,11
YY000101-251220-0025,JS000101-251220-0025,外卖区域.WM客位204262,,,,1,39.6,0.0,39.6,收银pos,001-收银,2025-12-20 11:29:17,否,1,11
YY000101-251220-0024,JS000101-251220-0024,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-20 11:26:27,否,1,11
YY000101-251220-0023,JS000101-251220-0023,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-20 11:25:28,否,1,11
YY000101-251220-0022,JS000101-251220-0022,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-20 11:25:16,否,1,11
YY000101-251220-0021,JS000101-251220-0021,外卖区域.WM客位204262,,,,1,33.8,0.0,33.8,收银pos,001-收银,2025-12-20 11:15:48,否,1,11
YY000101-251220-0020,JS000101-251220-0020,外卖区域.WM客位204262,,,,1,49.7,0.0,49.7,收银pos,001-收银,2025-12-20 11:14:10,否,1,11
YY000101-251220-0019,JS000101-251220-0019,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-20 11:12:06,否,1,11
YY000101-251220-0018,JS000101-251220-0018,外卖区域.WM客位204262,,,,1,33.8,0.0,33.8,收银pos,001-收银,2025-12-20 11:11:18,否,1,11
YY000101-251220-0017,JS000101-251220-0017,外卖区域.WM客位204262,,,,1,48.7,0.0,48.7,收银pos,001-收银,2025-12-20 11:10:56,否,1,11
YY000101-251220-0016,JS000101-251220-0016,外卖区域.WM客位204262,,,,1,45.8,0.0,45.8,收银pos,001-收银,2025-12-20 11:04:04,否,1,11
YY000101-251220-0015,JS000101-251220-0015,外卖区域.WM客位204262,,,,1,48.7,0.0,48.7,收银pos,001-收银,2025-12-20 11:02:25,否,1,11
YY000101-251220-0014,JS000101-251220-0014,外卖区域.WM客位204262,,,,1,62.8,0.0,62.8,收银pos,001-收银,2025-12-20 11:01:42,否,1,11
YY000101-251220-0013,JS000101-251220-0013,外卖区域.WM客位204262,,,,1,35.7,0.0,35.7,收银pos,001-收银,2025-12-20 10:58:38,否,1,10
YY000101-251220-0012,JS000101-251220-0012,外卖区域.WM客位204262,,,,1,71.8,0.0,71.8,收银pos,001-收银,2025-12-20 10:55:48,否,1,10
YY000101-251220-0011,JS000101-251220-0011,外卖区域.WM客位204262,,,,1,42.6,0.0,42.6,收银pos,001-收银,2025-12-20 10:55:10,否,1,10
YY000101-251220-0010,JS000101-251220-0010,外卖区域.WM客位204262,,,,1,47.8,0.0,47.8,收银pos,001-收银,2025-12-20 10:54:42,否,1,10
YY000101-251220-0009,JS000101-251220-0009,外卖区域.WM客位204262,,,,1,36.8,0.0,36.8,收银pos,001-收银,2025-12-20 10:52:11,否,1,10
YY000101-251220-0008,JS000101-251220-0008,外卖区域.WM客位204262,,,,1,50.7,0.0,50.7,收银pos,001-收银,2025-12-20 10:45:04,否,1,10
YY000101-251220-0007,JS000101-251220-0007,外卖区域.WM客位204262,,,,1,50.6,0.0,50.6,收银pos,001-收银,2025-12-20 10:44:56,否,1,10
YY000101-251220-0006,JS000101-251220-0006,外卖区域.WM客位204262,,,,1,39.7,0.0,39.7,收银pos,001-收银,2025-12-20 10:42:12,否,1,10
YY000101-251220-0005,JS000101-251220-0005,外卖区域.WM客位204262,,,,1,45.8,0.0,45.8,收银pos,001-收银,2025-12-20 10:40:08,否,1,10
YY000101-251220-0004,JS000101-251220-0004,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-20 10:40:00,否,1,10
YY000101-251220-0003,JS000101-251220-0003,外卖区域.WM客位204262,,,,1,33.8,0.0,33.8,收银pos,001-收银,2025-12-20 10:29:50,否,1,10
YY000101-251220-0002,JS000101-251220-0002,外卖区域.WM客位204262,,,,1,27.8,0.0,27.8,收银pos,001-收银,2025-12-20 10:25:28,否,1,10
YY000101-251220-0001,JS000101-251220-0001,外卖区域.WM客位204262,,,,1,46.7,0.0,46.7,收银pos,001-收银,2025-12-20 10:12:17,否,1,10
YY000101-251219-0116,JS000101-251219-0114,大厅.A07,,,,2,254.0,65.2,188.8,收银pos,001-收银,2025-12-19 21:09:53,否,0,21
YY000101-251219-0117,JS000101-251219-0113,外卖区域.WM客位204262,,,,1,57.7,0.0,57.7,收银pos,001-收银,2025-12-19 20:57:50,否,1,20
YY000101-251219-0099,JS000101-251219-0097,大厅.A03,,,,2,234.0,0.0,234.0,收银pos,001-收银,2025-12-19 20:39:47,否,0,20
YY000101-251219-0115,JS000101-251219-0112,外卖区域.WM客位204262,,,,1,53.8,0.0,53.8,收银pos,001-收银,2025-12-19 20:32:52,否,1,20
YY000101-251219-0106,JS000101-251219-0111,大厅.A06,,,,3,5.0,5.0,0.0,收银pos,001-收银,2025-12-19 20:29:53,否,0,20
YY000101-251219-0114,JS000101-251219-0110,外卖区域.WM客位204262,,,,1,42.8,0.0,42.8,收银pos,001-收银,2025-12-19 20:27:25,否,1,20
YY000101-251219-0113,JS000101-251219-0109,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-19 20:20:48,否,1,20
YY000101-251219-0111,JS000101-251219-0108,外卖区域.WM客位204262,,,,1,50.8,0.0,50.8,收银pos,001-收银,2025-12-19 20:19:15,否,1,20
YY000101-251219-0110,JS000101-251219-0107,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-19 20:11:12,否,1,20
YY000101-251219-0101,JS000101-251219-0106,大厅.A09,,,,2,212.0,36.8,175.2,收银pos,001-收银,2025-12-19 20:09:24,否,0,20
YY000101-251219-0098,JS000101-251219-0105,大厅.A05,,,,1,107.0,21.4,85.6,收银pos,001-收银,2025-12-19 20:08:28,否,0,20
YY000101-251219-0104,JS000101-251219-0104,大厅.A04,,,,3,258.0,0.0,258.0,收银pos,001-收银,2025-12-19 20:08:10,否,0,20
YY000101-251219-0109,JS000101-251219-0103,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-19 20:00:02,否,1,20
YY000101-251219-0096,JS000101-251219-0096,大厅.A02,,,,2,196.0,18.0,178.0,收银pos,001-收银,2025-12-19 19:59:38,否,0,19
YY000101-251219-0108,JS000101-251219-0102,外卖区域.WM客位204262,,,,1,40.7,0.0,40.7,收银pos,001-收银,2025-12-19 19:48:07,否,1,19
YY000101-251219-0105,JS000101-251219-0101,大厅.A06,,,,2,178.0,0.0,178.0,收银pos,001-收银,2025-12-19 19:42:17,否,0,19
YY000101-251219-0103,JS000101-251219-0100,外卖区域.WM客位204262,,,,1,38.8,0.0,38.8,收银pos,001-收银,2025-12-19 19:30:48,否,1,19
YY000101-251219-0100,JS000101-251219-0098,外卖区域.WM客位204262,,,,1,42.7,0.0,42.7,收银pos,001-收银,2025-12-19 19:15:47,否,1,19
YY000101-251219-0097,JS000101-251219-0095,外卖区域.WM客位204262,,,,1,52.1,0.0,52.1,收银pos,001-收银,2025-12-19 19:09:45,否,1,19
YY000101-251219-0095,JS000101-251219-0094,外卖区域.WM客位204262,,,,1,36.8,0.0,36.8,收银pos,001-收银,2025-12-19 19:02:43,否,1,19
YY000101-251219-0094,JS000101-251219-0093,外卖区域.WM客位204262,,,,1,38.8,0.0,38.8,收银pos,001-收银,2025-12-19 19:02:21,否,1,19
YY000101-251219-0093,JS000101-251219-0092,外卖区域.WM客位204262,,,,1,42.8,0.0,42.8,收银pos,001-收银,2025-12-19 19:00:57,否,1,19
YY000101-251219-0092,JS000101-251219-0091,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-19 18:59:08,否,1,18
YY000101-251219-0091,JS000101-251219-0090,大厅.A07,,,,3,18.0,0.0,18.0,收银pos,001-收银,2025-12-19 18:49:51,否,0,18
YY000101-251219-0090,JS000101-251219-0089,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-19 18:44:52,否,1,18
YY000101-251219-0089,JS000101-251219-0088,大厅.A07,,,,3,178.0,0.0,178.0,收银pos,001-收银,2025-12-19 18:42:12,否,0,18
YY000101-251219-0076,JS000101-251219-0087,大厅.A08,,,,4,495.0,66.0,429.0,收银pos,001-收银,2025-12-19 18:31:21,否,0,18
YY000101-251219-0088,JS000101-251219-0086,外卖区域.WM客位204262,,,,1,32.7,0.0,32.7,收银pos,001-收银,2025-12-19 18:29:19,否,1,18
YY000101-251219-0080,JS000101-251219-0085,大厅.A05,,,,3,262.0,52.4,209.6,收银pos,001-收银,2025-12-19 18:27:09,否,0,18
YY000101-251219-0087,JS000101-251219-0084,外卖区域.WM客位204262,,,,1,31.8,0.0,31.8,收银pos,001-收银,2025-12-19 18:20:32,否,1,18
YY000101-251219-0086,JS000101-251219-0083,外卖区域.WM客位204262,,,,1,44.6,0.0,44.6,收银pos,001-收银,2025-12-19 18:17:47,否,1,18
YY000101-251219-0085,JS000101-251219-0082,外卖区域.WM客位204262,,,,1,43.7,0.0,43.7,收银pos,001-收银,2025-12-19 18:07:23,否,1,18
YY000101-251219-0084,JS000101-251219-0081,外卖区域.WM客位204262,,,,1,42.8,0.0,42.8,收银pos,001-收银,2025-12-19 17:57:14,否,1,17
YY000101-251219-0083,JS000101-251219-0080,外卖区域.WM客位204262,,,,1,38.6,0.0,38.6,收银pos,001-收银,2025-12-19 17:55:15,否,1,17
YY000101-251219-0082,JS000101-251219-0079,外卖区域.WM客位204262,,,,1,44.8,0.0,44.8,收银pos,001-收银,2025-12-19 17:36:10,否,1,17
YY000101-251219-0081,JS000101-251219-0078,外卖区域.WM客位204262,,,,1,46.7,0.0,46.7,收银pos,001-收银,2025-12-19 17:27:06,否,1,17
YY000101-251219-0079,JS000101-251219-0077,外卖区域.WM客位204262,,,,1,36.8,0.0,36.8,收银pos,001-收银,2025-12-19 17:24:47,否,1,17
YY000101-251219-0077,JS000101-251219-0075,外卖区域.WM客位204262,,,,1,48.7,0.0,48.7,收银pos,001-收银,2025-12-19 17:19:29,否,1,17
YY000101-251219-0075,JS000101-251219-0074,外卖区域.WM客位204262,,,,1,65.8,0.0,65.8,收银pos,001-收银,2025-12-19 17:07:19,否,1,17
YY000101-251219-0074,JS000101-251219-0073,外卖区域.WM客位204262,,,,1,33.8,0.0,33.8,收银pos,001-收银,2025-12-19 16:48:39,否,1,16
YY000101-251219-0073,JS000101-251219-0072,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-19 16:10:17,否,1,16
YY000101-251219-0071,JS000101-251219-0070,外卖区域.WM客位204262,,,,1,35.8,0.0,35.8,收银pos,001-收银,2025-12-19 16:05:04,否,1,16
YY000101-251219-0068,JS000101-251219-0067,大厅.A07,,,,2,47.6,0.0,47.6,收银pos,001-收银,2025-12-19 15:36:23,否,0,15
YY000101-251219-0070,JS000101-251219-0069,外卖区域.WM客位204262,,,,1,34.8,0.0,34.8,收银pos,001-收银,2025-12-19 15:21:05,否,1,15
YY000101-251219-0069,JS000101-251219-0068,外卖区域.WM客位204262,,,,1,56.8,0.0,56.8,收银pos,001-收银,2025-12-19 15:16:39,否,1,15
YY000101-251219-0067,JS000101-251219-0066,外卖区域.WM客位204262,,,,1,32.8,0.0,32.8,收银pos,001-收银,2025-12-19 15:01:58,否,1,15
YY000101-251219-0066,JS000101-251219-0065,外卖区域.WM客位204262,,,,1,40.3,0.0,40.3,收银pos,001-收银,2025-12-19 14:50:29,否,1,14
YY000101-251219-0063,JS000101-251219-0064,大厅.A09,,,,1,39.0,0.0,39.0,收银pos,001-收银,2025-12-19 14:48:33,否,0,14
YY000101-251219-0065,JS000101-251219-0063,外卖区域.WM客位204262,,,,1,70.7,0.0,70.7,收银pos,001-收银,2025-12-19 14:36:13,否,1,14
YY000101-251219-0064,JS000101-251219-0062,外卖区域.WM客位204262,,,,1,104.6,0.0,104.6,收银pos,001-收银,2025-12-19 14:30:01,否,1,14
YY000101-251219-0062,JS000101-251219-0061,外卖区域.WM客位204262,,,,1,44.8,0.0,44.8,收银pos,001-收银,2025-12-19 14:20:38,否,1,14
YY000101-251219-0061,JS000101-251219-0060,外卖区域.WM客位204262,,,,1,45.8,0.0,45.8,收银pos,001-收银,2025-12-19 14:08:38,否,1,14
YY000101-251219-0060,JS000101-251219-0059,外卖区域.WM客位204262,,,,1,45.8,0.0,45.8,收银pos,001-收银,2025-12-19 14:07:45,否,1,14
YY000101-251219-0059,JS000101-251219-0058,大厅.A05,,,,2,60.0,0.0,60.0,收银pos,001-收银,2025-12-19 14:04:19,否,0,14
YY000101-251219-0058,JS000101-251219-0057,外卖区域.WM客位204262,,,,1,37.7,0.0,37.7,收银pos,001-收银,2025-12-19 13:38:15,否,1,13
YY000101-251219-0057,JS000101-251219-0056,外卖区域.WM客位204262,,,,1,69.6,0.0,69.6,收银pos,001-收银,2025-12-19 13:32:29,否,1,13
YY000101-251219-0053,JS000101-251219-0055,大厅.A02,,,,4,14.0,0.0,14.0,收银pos,001-收银,2025-12-19 13:17:14,否,0,13
YY000101-251219-0051,JS000101-251219-0054,大厅.A06,,,,2,8.0,8.0,0.0,收银pos,001-收银,2025-12-19 13:10:19,否,0,13
YY000101-251219-0054,JS000101-251219-0053,大厅.A07,,,,3,245.0,37.2,207.8,收银pos,001-收银,2025-12-19 13:07:10,否,0,13
YY000101-251219-0056,JS000101-251219-0052,外卖区域.WM客位204262,,,,1,48.8,0.0,48.8,收银pos,001-收银,2025-12-19 12:57:30,否,1,12
YY000101-251219-0055,JS000101-251219-0051,大厅.A11,,,,1,25.0,0.0,25.0,收银pos,001-收银,2025-12-19 12:55:36,否,1,12
YY000101-251219-0042,JS000101-251219-0041,大厅.A10,,,,1,23.8,0.0,23.8,收银pos,001-收银,2025-12-19 12:43:16,否,0,12
YY000101-251219-0048,JS000101-251219-0047,大厅.A09,,,,2,47.6,0.0,47.6,收银pos,001-收银,2025-12-19 12:43:12,否,0,12
YY000101-251219-0045,JS000101-251219-0044,大厅.A02,,,,24,278.0,0.0,278.0,收银pos,001-收银,2025-12-19 12:37:58,否,0,12
YY000101-251219-0052,JS000101-251219-0050,外卖区域.WM客位204262,,,,1,47.1,0.0,47.1,收银pos,001-收银,2025-12-19 12:34:19,否,1,12
YY000101-251219-0050,JS000101-251219-0048,大厅.A06,,,,2,178.0,0.0,178.0,收银pos,001-收银,2025-12-19 12:33:43,否,0,12
